dataset,id,name,address,expected_town,variant_1,variant_2,variant_3
assoc,CASSOC_409,什股社區發展協會,彰化縣伸港鄉什股村什股路99-1號,伸港鄉,彰化縣伸港鄉什股村什股路99之1號,彰化縣伸港鄉什股路99之1號,彰化縣伸港鄉什股村什股路99-1號
assoc,CASSOC_425,溪墘社區發展協會,彰化縣竹塘鄉竹塘鄉溪墘村河陽路20號,竹塘鄉,彰化縣竹塘鄉溪墘村河陽路20號,彰化縣竹塘鄉河陽路20號,
assoc,CASSOC_454,梅州社區發展協會,彰化縣田中鎮梅州里斗中路一段443巷121-2號,田中鎮,彰化縣田中鎮梅州里斗中路一段443巷121之2號,彰化縣田中鎮斗中路一段443巷121之2號,彰化縣田中鎮梅州里斗中路一段443巷121-2號
assoc,CASSOC_458,大社社區發展協會,彰化縣田中鎮大社里大社路2段647號,田中鎮,彰化縣田中鎮大社里大社路2段647號,彰化縣田中鎮大社路2段647號,
assoc,CASSOC_460,東源社區發展協會,彰化縣田中鎮東源里中南路二段608巷32號,田中鎮,彰化縣田中鎮東源里中南路二段608巷32號,彰化縣田中鎮中南路二段608巷32號,
assoc,CASSOC_462,新庄社區發展協會,彰化縣田中鎮新庄里中山街134號2F,田中鎮,彰化縣田中鎮新庄里中山街134號,彰化縣田中鎮中山街134號,
assoc,CASSOC_474,碧峰社區發展協會,彰化縣田中鎮田中鎮碧峰里中南路二段509號,田中鎮,彰化縣田中鎮碧峰里中南路二段509號,彰化縣田中鎮中南路二段509號,
assoc,CASSOC_475,港西社區發展協會,彰化縣永靖鄉永靖鄉港西村五福巷118號之2,永靖鄉,彰化縣永靖鄉港西村五福巷118號之2,彰化縣永靖鄉五福巷118號之2,彰化縣永靖鄉港西村五福巷118號-2
assoc,CASSOC_479,湳港社區發展協會,彰化縣永靖鄉通訊地址:永靖鄉湳港村永社路186號,永靖鄉,彰化縣永靖鄉通訊地址:永靖鄉湳港村永社路186號,,
assoc,CASSOC_481,同安社區發展協會,彰化縣永靖鄉同安村西畔巷11-1號,永靖鄉,彰化縣永靖鄉同安村西畔巷11之1號,彰化縣永靖鄉西畔巷11之1號,彰化縣永靖鄉同安村西畔巷11-1號
assoc,CASSOC_482,光雲社區發展協會,彰化縣永靖鄉光雲村意善巷78-1號,永靖鄉,彰化縣永靖鄉光雲村意善巷78之1號,彰化縣永靖鄉意善巷78之1號,彰化縣永靖鄉光雲村意善巷78-1號
assoc,CASSOC_483,同仁社區發展協會,彰化縣永靖鄉同仁村東畔路7-1號,永靖鄉,彰化縣永靖鄉同仁村東畔路7之1號,彰化縣永靖鄉東畔路7之1號,彰化縣永靖鄉同仁村東畔路7-1號
assoc,CASSOC_485,新莊社區發展協會,彰化縣永靖鄉新莊村永社路75-1號,永靖鄉,彰化縣永靖鄉新莊村永社路75之1號,彰化縣永靖鄉永社路75之1號,彰化縣永靖鄉新莊村永社路75-1號
assoc,CASSOC_490,五福社區發展協會,彰化縣永靖鄉五福村五福巷99-1號,永靖鄉,彰化縣永靖鄉五福村五福巷99之1號,彰化縣永靖鄉五福巷99之1號,彰化縣永靖鄉五福村五福巷99-1號
assoc,CASSOC_491,崙美社區發展協會,彰化縣永靖鄉崙美村獨鰲路270巷8-1號,永靖鄉,彰化縣永靖鄉崙美村獨鰲路270巷8之1號,彰化縣永靖鄉獨鰲路270巷8之1號,彰化縣永靖鄉崙美村獨鰲路270巷8-1號
assoc,CASSOC_493,永北社區發展協會,彰化縣永靖鄉永北村水尾路192巷1-1號,永靖鄉,彰化縣永靖鄉永北村水尾路192巷1之1號,彰化縣永靖鄉水尾路192巷1之1號,彰化縣永靖鄉永北村水尾路192巷1-1號
assoc,CASSOC_494,湳墘社區發展協會,彰化縣永靖鄉湳墘村忠心路13-1號,永靖鄉,彰化縣永靖鄉湳墘村忠心路13之1號,彰化縣永靖鄉忠心路13之1號,彰化縣永靖鄉湳墘村忠心路13-1號
assoc,CASSOC_496,獨鰲社區發展協會,彰化縣永靖鄉獨鰲村獨鰲路一段3號,永靖鄉,彰化縣永靖鄉獨鰲村獨鰲路一段3號,彰化縣永靖鄉獨鰲路一段3號,
assoc,CASSOC_517,西港社區發展協會,彰化縣大城鄉西港村永鎮路35號,大城鄉,彰化縣大城鄉西港村永鎮路35號,彰化縣大城鄉永鎮路35號,
assoc,CASSOC_523,潭墘社區發展協會,彰化縣大城鄉潭墘村光復路1-5號,大城鄉,彰化縣大城鄉潭墘村光復路1之5號,彰化縣大城鄉光復路1之5號,彰化縣大城鄉潭墘村光復路1-5號
assoc,CASSOC_524,尤仕社區發展協會,彰化縣大城鄉潭墘村天惠路42-1號,大城鄉,彰化縣大城鄉潭墘村天惠路42之1號,彰化縣大城鄉天惠路42之1號,彰化縣大城鄉潭墘村天惠路42-1號
assoc,CASSOC_527,台西社區發展協會,彰化縣大城鄉台西村順應路4號,大城鄉,彰化縣大城鄉台西村順應路4號,彰化縣大城鄉順應路4號,
assoc,CASSOC_534,新興社區發展協會,彰化縣大村鄉新興村新興巷6-3號彰化縣大村鄉新興村新興巷11號,大村鄉,彰化縣大村鄉新興村新興巷6之3號,彰化縣大村鄉新興巷6之3號,彰化縣大村鄉新興村新興巷6-3號
assoc,CASSOC_542,福興社區發展協會,彰化縣大村鄉福興村山腳路88-1號,大村鄉,彰化縣大村鄉福興村山腳路88之1號,彰化縣大村鄉山腳路88之1號,彰化縣大村鄉福興村山腳路88-1號
assoc,CASSOC_547,復豐社區發展協會,彰化縣二林鎮復豐里𥕟瑤巷5號,二林鎮,彰化縣二林鎮復豐里𥕟瑤巷5號,彰化縣二林鎮𥕟瑤巷5號,
assoc,CASSOC_549,東興社區發展協會,彰化縣二林鎮東興里福建巷45號之1,二林鎮,彰化縣二林鎮東興里福建巷45號之1,彰化縣二林鎮福建巷45號之1,彰化縣二林鎮東興里福建巷45號-1
assoc,CASSOC_552,大永社區發展協會,彰化縣二林鎮大永路17之1號,二林鎮,彰化縣二林鎮大永路17之1號,彰化縣二林鎮大永路17-1號,
assoc,CASSOC_558,西庄社區發展協會,彰化縣二林鎮西庄里泉西巷31號之1,二林鎮,彰化縣二林鎮西庄里泉西巷31號之1,彰化縣二林鎮泉西巷31號之1,彰化縣二林鎮西庄里泉西巷31號-1
assoc,CASSOC_563,西平社區發展協會,彰化縣二林鎮西平里民族巷8號之1,二林鎮,彰化縣二林鎮西平里民族巷8號之1,彰化縣二林鎮民族巷8號之1,彰化縣二林鎮西平里民族巷8號-1
assoc,CASSOC_574,海豐社區發展協會,彰化縣二水鄉上豐村山腳路113-5號,二水鄉,彰化縣二水鄉上豐村山腳路113之5號,彰化縣二水鄉山腳路113之5號,彰化縣二水鄉上豐村山腳路113-5號
assoc,CASSOC_577,光化社區發展協會,彰化縣二水鄉光化村光聖巷37號,二水鄉,彰化縣二水鄉光化村光聖巷37號,彰化縣二水鄉光聖巷37號,
assoc,CASSOC_580,惠民社區發展協會,彰化縣二水鄉惠民村山腳路48-1號,二水鄉,彰化縣二水鄉惠民村山腳路48之1號,彰化縣二水鄉山腳路48之1號,彰化縣二水鄉惠民村山腳路48-1號
assoc,CASSOC_583,源泉社區發展協會,彰化縣二水鄉源泉村月眉巷1-2號,二水鄉,彰化縣二水鄉源泉村月眉巷1之2號,彰化縣二水鄉月眉巷1之2號,彰化縣二水鄉源泉村月眉巷1-2號
assoc,CASSOC_584,文化社區發展協會,彰化縣二水鄉文化村文化一巷1號,二水鄉,彰化縣二水鄉文化村文化一巷1號,彰化縣二水鄉文化一巷1號,
infant,INFCARE_002,彰化基督教醫療財團法人附設彰化縣私立彰基托嬰中心,彰化縣彰化市彰化市大埔路485巷106號1樓,彰化市,彰化縣彰化市大埔路485巷106號,,
infant,INFCARE_051,探索托嬰中心,彰化縣彰化市彰化市中正路二段851號,彰化市,彰化縣彰化市中正路二段851號,,
infant,INFCARE_061,英橋托嬰中心,彰化縣和美鎮和美鎮道周路438號2-3樓,和美鎮,彰化縣和美鎮道周路438號,,
early,EARLY_005,聖智啟智中心,彰化縣溪州鄉中山路3段512號,溪州鄉,彰化縣溪州鄉中山路3段512號,,
